time,temp_max,temp_min,precipitation,city,temp_range
2023-01-01,25.0,17.4,0.4,Sydney,7.600000000000001
2023-01-02,25.7,17.9,0.0,Sydney,7.800000000000001
2023-01-03,26.2,17.4,0.0,Sydney,8.8
2023-01-04,24.4,17.6,24.6,Sydney,6.799999999999997
2023-01-05,20.5,16.3,43.2,Sydney,4.199999999999999
2023-01-06,19.0,15.0,18.1,Sydney,4.0
2023-01-07,21.3,16.4,5.5,Sydney,4.900000000000002
2023-01-08,21.9,14.9,0.9,Sydney,6.999999999999998
2023-01-09,24.5,13.3,0.0,Sydney,11.2
2023-01-10,23.7,15.0,0.1,Sydney,8.7
2023-01-11,24.2,18.1,1.3,Sydney,6.099999999999998
2023-01-12,24.8,17.9,0.3,Sydney,6.900000000000002
2023-01-13,25.8,16.1,0.1,Sydney,9.7
2023-01-14,24.6,19.9,2.6,Sydney,4.700000000000003
2023-01-15,27.3,17.4,0.0,Sydney,9.900000000000002
2023-01-16,26.5,18.9,0.4,Sydney,7.600000000000001
2023-01-17,25.8,18.4,0.5,Sydney,7.400000000000002
2023-01-18,28.6,17.2,0.9,Sydney,11.400000000000002
2023-01-19,21.2,18.3,10.1,Sydney,2.8999999999999986
2023-01-20,20.6,16.4,6.4,Sydney,4.200000000000003
2023-01-21,23.5,17.0,1.9,Sydney,6.5
2023-01-22,20.6,17.1,13.8,Sydney,3.5
2023-01-23,23.2,17.1,1.1,Sydney,6.099999999999998
2023-01-24,26.0,15.8,0.5,Sydney,10.2
2023-01-25,25.0,16.1,2.8,Sydney,8.899999999999999
2023-01-26,29.5,19.2,0.0,Sydney,10.3
2023-01-27,24.8,21.1,2.6,Sydney,3.6999999999999993
2023-01-28,28.9,19.3,0.2,Sydney,9.599999999999998
2023-01-29,28.8,22.0,2.8,Sydney,6.800000000000001
2023-01-30,28.0,20.3,29.2,Sydney,7.699999999999999
2023-01-31,25.7,19.8,0.3,Sydney,5.899999999999999
2023-02-01,24.9,19.4,0.1,Sydney,5.5
2023-02-02,27.1,18.1,1.6,Sydney,9.0
2023-02-03,28.4,18.7,0.0,Sydney,9.7
2023-02-04,25.5,14.8,0.0,Sydney,10.7
2023-02-05,25.5,14.1,0.0,Sydney,11.4
2023-02-06,26.4,19.3,0.0,Sydney,7.099999999999998
2023-02-07,25.9,18.8,3.0,Sydney,7.099999999999998
2023-02-08,24.3,19.3,5.3,Sydney,5.0
2023-02-09,23.3,17.8,32.9,Sydney,5.5
2023-02-10,27.5,15.9,1.1,Sydney,11.6
2023-02-11,32.3,17.6,0.0,Sydney,14.699999999999996
2023-02-12,24.9,19.8,0.0,Sydney,5.099999999999998
2023-02-13,23.0,18.9,4.4,Sydney,4.100000000000001
2023-02-14,23.0,17.4,10.5,Sydney,5.600000000000001
2023-02-15,24.6,16.3,1.5,Sydney,8.3
2023-02-16,27.5,15.9,0.0,Sydney,11.6
2023-02-17,27.4,17.1,0.0,Sydney,10.299999999999997
2023-02-18,30.0,17.6,0.1,Sydney,12.399999999999999
2023-02-19,25.8,20.4,0.0,Sydney,5.400000000000002
2023-02-20,28.1,19.6,0.0,Sydney,8.5
2023-02-21,27.9,19.3,10.3,Sydney,8.599999999999998
2023-02-22,22.4,18.7,20.4,Sydney,3.6999999999999993
2023-02-23,22.5,17.2,2.5,Sydney,5.300000000000001
2023-02-24,24.1,16.6,0.3,Sydney,7.5
2023-02-25,25.5,15.5,0.1,Sydney,10.0
2023-02-26,28.9,16.8,0.0,Sydney,12.099999999999998
2023-02-27,24.9,20.6,1.1,Sydney,4.299999999999997
2023-02-28,25.3,19.4,1.0,Sydney,5.900000000000002
2023-03-01,26.0,18.8,0.3,Sydney,7.199999999999999
2023-03-02,24.8,18.2,1.6,Sydney,6.600000000000001
2023-03-03,24.8,17.8,25.7,Sydney,7.0
2023-03-04,24.9,18.0,2.2,Sydney,6.899999999999999
2023-03-05,26.7,17.0,0.0,Sydney,9.7
2023-03-06,35.6,20.2,0.0,Sydney,15.400000000000002
2023-03-07,31.6,18.2,0.2,Sydney,13.400000000000002
2023-03-08,28.3,14.0,0.0,Sydney,14.3
2023-03-09,26.2,14.6,0.0,Sydney,11.6
2023-03-10,25.4,14.1,0.0,Sydney,11.299999999999999
2023-03-11,29.1,15.9,0.3,Sydney,13.200000000000001
2023-03-12,24.6,19.3,3.9,Sydney,5.300000000000001
2023-03-13,22.8,20.1,4.0,Sydney,2.6999999999999993
2023-03-14,23.3,18.1,5.1,Sydney,5.199999999999999
2023-03-15,26.3,17.2,0.4,Sydney,9.100000000000001
2023-03-16,33.1,17.8,0.0,Sydney,15.3
2023-03-17,29.0,17.0,0.0,Sydney,12.0
2023-03-18,28.4,18.3,0.0,Sydney,10.099999999999998
2023-03-19,30.1,19.2,0.0,Sydney,10.900000000000002
2023-03-20,22.7,20.1,2.8,Sydney,2.599999999999998
2023-03-21,22.3,19.1,0.4,Sydney,3.1999999999999993
2023-03-22,23.3,17.0,13.1,Sydney,6.300000000000001
2023-03-23,23.7,18.3,11.9,Sydney,5.399999999999999
2023-03-24,23.4,18.3,1.8,Sydney,5.099999999999998
2023-03-25,23.5,18.1,10.3,Sydney,5.399999999999999
2023-03-26,24.1,19.3,0.0,Sydney,4.800000000000001
2023-03-27,25.0,18.6,6.2,Sydney,6.399999999999999
2023-03-28,26.1,19.3,2.0,Sydney,6.800000000000001
2023-03-29,26.3,18.0,6.7,Sydney,8.3
2023-03-30,22.7,13.9,0.1,Sydney,8.799999999999999
2023-03-31,23.1,13.2,0.0,Sydney,9.900000000000002
2023-04-01,18.5,13.2,1.8,Sydney,5.300000000000001
2023-04-02,20.2,14.7,5.5,Sydney,5.5
2023-04-03,22.1,14.0,0.6,Sydney,8.100000000000001
2023-04-04,23.3,15.6,0.5,Sydney,7.700000000000001
2023-04-05,22.4,14.9,0.2,Sydney,7.499999999999998
2023-04-06,21.9,14.1,0.2,Sydney,7.799999999999999
2023-04-07,23.2,13.2,11.1,Sydney,10.0
2023-04-08,22.2,12.5,0.0,Sydney,9.7
2023-04-09,20.0,13.0,0.0,Sydney,7.0
2023-04-10,18.8,10.9,0.0,Sydney,7.9
2023-04-11,20.5,10.3,0.0,Sydney,10.2
2023-04-12,21.3,10.6,1.8,Sydney,10.700000000000001
2023-04-13,20.0,12.5,11.4,Sydney,7.5
2023-04-14,19.2,14.7,2.1,Sydney,4.5
2023-04-15,23.8,11.6,0.0,Sydney,12.200000000000001
2023-04-16,24.8,14.0,0.6,Sydney,10.8
2023-04-17,20.2,12.0,0.2,Sydney,8.2
2023-04-18,21.9,11.2,0.0,Sydney,10.7
2023-04-19,23.0,11.2,1.1,Sydney,11.8
2023-04-20,18.7,15.6,13.6,Sydney,3.0999999999999996
2023-04-21,20.2,13.9,1.1,Sydney,6.299999999999999
2023-04-22,21.1,13.3,1.6,Sydney,7.800000000000001
2023-04-23,21.4,13.7,3.9,Sydney,7.699999999999999
2023-04-24,22.1,15.4,2.9,Sydney,6.700000000000001
2023-04-25,23.0,12.5,0.0,Sydney,10.5
2023-04-26,21.6,12.3,0.3,Sydney,9.3
2023-04-27,22.7,13.0,0.2,Sydney,9.7
2023-04-28,24.8,11.4,0.0,Sydney,13.4
2023-04-29,18.2,15.0,13.6,Sydney,3.1999999999999993
2023-04-30,18.1,11.7,9.3,Sydney,6.400000000000002
2023-05-01,18.4,9.8,0.0,Sydney,8.599999999999998
2023-05-02,20.7,11.1,0.0,Sydney,9.6
2023-05-03,21.8,12.0,0.0,Sydney,9.8
2023-05-04,18.4,10.5,0.0,Sydney,7.899999999999999
2023-05-05,20.6,8.3,0.0,Sydney,12.3
2023-05-06,19.4,8.0,0.0,Sydney,11.399999999999999
2023-05-07,14.8,8.0,6.0,Sydney,6.800000000000001
2023-05-08,15.8,8.4,2.9,Sydney,7.4
2023-05-09,17.7,9.8,0.0,Sydney,7.899999999999999
2023-05-10,18.6,8.6,0.0,Sydney,10.000000000000002
